Accuracy,AUC,F1,MCC,Fold,Model,Experiment
0.8354430379746836,0.8823129251700681,0.7868852459016393,0.6531561093841245,3,LR,Real_plus_Synthetic_Balanced
0.8860759493670886,0.954421768707483,0.847457627118644,0.7568670687733564,3,RF,Real_plus_Synthetic_Balanced
0.6329113924050633,0.8081632653061225,0.06451612903225806,0.14470719035407653,3,SVM,Real_plus_Synthetic_Balanced
0.9240506329113924,0.9809523809523809,0.9,0.8387755102040816,3,XGBoost,Real_plus_Synthetic_Balanced
0.9873417721518988,0.9959183673469387,0.9830508474576272,0.9733105020153299,3,LR,Real_plus_All_Synthetic
0.9367088607594937,0.9829931972789115,0.9152542372881356,0.8650887853943431,3,RF,Real_plus_All_Synthetic
0.6582278481012658,0.8581632653061224,0.18181818181818182,0.2539166875385041,3,SVM,Real_plus_All_Synthetic
0.9746835443037974,0.9986394557823128,0.9666666666666667,0.9462585034013605,3,XGBoost,Real_plus_All_Synthetic
0.9620253164556962,0.9979591836734695,0.9523809523809523,0.9238139866898046,3,LR,Synthetic_only_TSTR
0.8987341772151899,0.9850340136054422,0.8787878787878788,0.8027863835451574,3,RF,Synthetic_only_TSTR
0.7215189873417721,0.8547619047619048,0.5,0.38821023166898894,3,SVM,Synthetic_only_TSTR
0.9620253164556962,1.0,0.9523809523809523,0.9238139866898046,3,XGBoost,Synthetic_only_TSTR
0.8734177215189873,0.9386206896551724,0.8275862068965517,0.7275862068965517,4,LR,Real_only
0.8987341772151899,0.9627586206896552,0.8461538461538461,0.7836958341217529,4,RF,Real_only
0.8227848101265823,0.8786206896551724,0.7407407407407407,0.611104144857543,4,SVM,Real_only
0.8987341772151899,0.973793103448276,0.8571428571428571,0.780059282700339,4,XGBoost,Real_only
0.9113924050632911,0.9689655172413792,0.8813559322033898,0.8109779270838497,4,LR,Real_plus_Synthetic_Balanced
0.9113924050632911,0.9724137931034482,0.8627450980392157,0.8157553219633659,4,RF,Real_plus_Synthetic_Balanced
0.6708860759493671,0.876551724137931,0.1875,0.2608794285202369,4,SVM,Real_plus_Synthetic_Balanced
0.9367088607594937,0.9786206896551725,0.9090909090909091,0.8637877765149921,4,XGBoost,Real_plus_Synthetic_Balanced
1.0,1.0,1.0,1.0,4,LR,Real_plus_All_Synthetic
0.9620253164556962,0.9944827586206896,0.9454545454545454,0.9196757653312774,4,RF,Real_plus_All_Synthetic
0.6962025316455697,0.9144827586206896,0.3333333333333333,0.3170078535318577,4,SVM,Real_plus_All_Synthetic
0.9746835443037974,1.0,0.9642857142857143,0.9461635504451551,4,XGBoost,Real_plus_All_Synthetic
1.0,1.0,1.0,1.0,4,LR,Synthetic_only_TSTR
0.9493670886075949,0.9951724137931034,0.9354838709677419,0.899157855153837,4,RF,Synthetic_only_TSTR
